prize,category,year,status,title,author
Locus,Science Fiction Novel,2024,Nominee,"The Blue, Beautiful World",Karen Lord
Locus,Science Fiction Novel,2024,Nominee,Where Peace Is Lost,Valerie Valdes
Locus,Science Fiction Novel,2024,Nominee,The Circumference of the World,Lavie Tidhar
Locus,Science Fiction Novel,2024,Nominee,A Fire Born of Exile,Aliette de Bodard
Locus,Science Fiction Novel,2024,Nominee,Him,Geoff Ryman
Locus,Science Fiction Novel,2023,Nominee,Sweep of Stars,Maurice Broaddus
Locus,Science Fiction Novel,2023,Nominee,Eyes of the Void,Adrian Tchaikovsky
Locus,Science Fiction Novel,2023,Nominee,Eversion,Alastair Reynolds
Locus,Science Fiction Novel,2023,Nominee,The Red Scholar's Wake,Aliette de Bodard
Locus,Science Fiction Novel,2023,Nominee,Neom,Lavie Tidhar
Locus,Science Fiction Novel,2023,Nominee,Goliath,Tochi Onyebuchi
Locus,Science Fiction Novel,2023,Nominee,Sea of Tranquility,Emily St. John Mandel
Locus,Science Fiction Novel,2023,Nominee,The Daughter of Doctor Moreau,Silvia Moreno-Garcia
Locus,Science Fiction Novel,2023,Nominee,The Spare Man,Mary Robinette Kowal
Locus,Science Fiction Novel,2022,Nominee,The House of Styx,Derek Künsken
Locus,Science Fiction Novel,2022,Nominee,Doors of Sleep,Tim Pratt
Locus,Science Fiction Novel,2022,Nominee,Out Past the Stars,K B Wagers
Locus,Science Fiction Novel,2022,Nominee,We Are Satellites,Sarah Pinsker
Locus,Science Fiction Novel,2022,Nominee,Firebreak,Nicole Kornher-Stace
Locus,Science Fiction Novel,2022,Nominee,Shards of Earth,Adrian Tchaikovsky
Locus,Science Fiction Novel,2022,Nominee,The 22 Murders of Madison May,Max Barry
Locus,Science Fiction Novel,2022,Nominee,The Book of All Skies,Greg Egan
Locus,Science Fiction Novel,2022,Nominee,The Second Shooter,Nick Mamatas
Locus,Science Fiction Novel,2022,Nominee,The Horizon,Gautam Bhatia
Locus,Science Fiction Novel,2022,Nominee,Inhibitor Phase,Alastair Reynolds
Locus,Science Fiction Novel,2022,Nominee,Klara and the Sun,Kazuo Ishiguro
Locus,Science Fiction Novel,2022,Nominee,"The Galaxy, and the Ground Within",Becky Chambers
Locus,Science Fiction Novel,2022,Nominee,Perhaps the Stars,Ada Palmer
Locus,Science Fiction Novel,2022,Nominee,Hummingbird Salamander,Jeff VanderMeer
Locus,Science Fiction Novel,2022,Nominee,Project Hail Mary,Q18590295
Locus,Science Fiction Novel,2022,Nominee,Leviathan Falls,Daniel Abraham
Locus,Science Fiction Novel,2022,Nominee,Leviathan Falls,James S. A. Corey
Locus,Science Fiction Novel,2022,Nominee,Leviathan Falls,Ty Franck
Locus,Science Fiction Novel,2022,Nominee,Bewilderment,Richard Powers
Locus,Science Fiction Novel,2022,Nominee,Invisible Sun,Charles Stross
Locus,Science Fiction Novel,2022,Nominee,Iron Widow,Xiran Jay Zhao
Locus,Science Fiction Novel,2022,Nominee,Termination Shock,Neal Stephenson
Locus,Science Fiction Novel,2022,Nominee,You Sexy Thing,Cat Rambo
Locus,Science Fiction Novel,2022,Nominee,Beyond the Hallowed Sky,Ken MacLeod
Locus,Science Fiction Novel,2022,Nominee,The Actual Star,Monica Byrne
Locus,Science Fiction Novel,2022,Nominee,Appleseed,Matt Bell
Locus,Science Fiction Novel,2022,Nominee,Q110552625,Anthony Doerr
Locus,Science Fiction Novel,2022,Nominee,Noor,Nnedi Okorafor
Locus,Science Fiction Novel,2022,Nominee,Far from the Light of Heaven,Tade Thompson
Locus,Science Fiction Novel,2022,Nominee,The Echo Wife,Sarah Gailey
Locus,Science Fiction Novel,2022,Nominee,Purgatory Mount,Adam Roberts
Locus,Science Fiction Novel,2021,Nominee,Agency,William Gibson
Locus,Science Fiction Novel,2021,Nominee,Bridge 108,Anne Charnock
Locus,Science Fiction Novel,2021,Nominee,Anthropocene Rag,Alexander C. Irvine
Locus,Science Fiction Novel,2021,Nominee,War of the Maps,Paul J. McAuley
Locus,Science Fiction Novel,2021,Nominee,Driving the Deep,Suzanne Palmer
Locus,Science Fiction Novel,2021,Nominee,The Eleventh Gate,Nancy Kress
Locus,Science Fiction Novel,2021,Nominee,Interlibrary Loan,Gene Wolfe
Locus,Science Fiction Novel,2021,Nominee,Ghost Species,James Bradley
Locus,Science Fiction Novel,2021,Nominee,Unconquerable Sun,Kate Elliott
Locus,Science Fiction Novel,2021,Nominee,Failed State,Q5107557
Locus,Science Fiction Novel,2021,Nominee,City Under the Stars,Michael Swanwick
Locus,Science Fiction Novel,2021,Nominee,City Under the Stars,Gardner Dozois
Locus,Science Fiction Novel,2021,Nominee,Machine,Elizabeth Bear
Locus,Science Fiction Novel,2021,Nominee,The Evidence,Christopher Priest
Locus,Science Fiction Novel,2021,Nominee,Pacific Storm,Linda Nagata
Locus,Science Fiction Novel,2021,Nominee,Fleet Elements,Walter Jon Williams
Locus,Science Fiction Novel,2021,Nominee,Chosen Spirits,Samit Basu
Locus,Science Fiction Novel,2021,Nominee,Providence,Max Barry
Locus,Science Fiction Novel,2021,Nominee,Attack Surface,Cory Doctorow
Locus,Science Fiction Novel,2021,Nominee,The Last Emperox,John Scalzi
Locus,Science Fiction Novel,2021,Nominee,The Ministry for the Future,Kim Stanley Robinson
