prize,category,year,status,title,author
Booker,Fiction,2019,Nominee,Lost Children Archive,Valeria Luiselli
Booker,Fiction,2019,Nominee,Quichotte,Salman Rushdie
Booker,Fiction,2019,Nominee,"Ducks, Newburyport",Lucy Ellmann
Booker,Fiction,2019,Nominee,10 Minutes 38 Seconds in This Strange World,Elif Şafak
Booker,Fiction,2019,Nominee,An Orchestra of Minorities,Chigozie Obioma
Booker,Fiction,2019,Nominee,Frankissstein,Jeanette Winterson
Booker,Fiction,2019,Nominee,Night Boat to Tangier,Kevin Barry
Booker,Fiction,2019,Nominee,"My Sister, the Serial Killer",Oyinkan Braithwaite
Booker,Fiction,2018,Nominee,Sabrina,Nick Drnaso
Booker,Fiction,2018,Nominee,Everything Under,Daisy Johnson
Booker,Fiction,2018,Nominee,Snap,Belinda Bauer
Booker,Fiction,2018,Nominee,In Our Mad and Furious City,Guy Gunaratne
Booker,Fiction,2018,Nominee,The Water Cure,Sophie Mackintosh
Booker,Fiction,2018,Nominee,Normal People,Sally Rooney
Booker,Fiction,2018,Nominee,Warlight,Michael Ondaatje
Booker,Fiction,2018,Nominee,The Overstory,Richard Powers
Booker,Fiction,2018,Nominee,The Mars Room,Rachel Kushner
Booker,Fiction,2018,Nominee,Washington Black,Esi Edugyan
Booker,Fiction,2018,Nominee,The Long Take,Robin Robertson
Booker,Fiction,2018,Nominee,From a Low and Quiet Sea,Donal Ryan
Booker,Fiction,2017,Nominee,Reservoir 13,Jon McGregor
Booker,Fiction,2017,Nominee,Swing Time,Zadie Smith
Booker,Fiction,2017,Nominee,The Underground Railroad,Colson Whitehead
Booker,Fiction,2017,Nominee,The Ministry of Utmost Happiness,Arundhati Roy
Booker,Fiction,2017,Nominee,Autumn,Ali Smith
Booker,Fiction,2017,Nominee,Exit West,Mohsin Hamid
Booker,Fiction,2017,Nominee,4 3 2 1,Paul Auster
Booker,Fiction,2017,Nominee,Days Without End,Sebastian Barry
Booker,Fiction,2017,Nominee,Home Fire,Kamila Shamsie
Booker,Fiction,2017,Nominee,History of Wolves,Emily Fridlund
Booker,Fiction,2017,Nominee,Elmet,Fiona Mozley
Booker,Fiction,2017,Nominee,Solar Bones,Mike McCormack
Booker,Fiction,2016,Nominee,Eileen,Ottessa Moshfegh
Booker,Fiction,2016,Nominee,My Name Is Lucy Barton,Elizabeth Strout
Booker,Fiction,2016,Nominee,Hystopia,David Means
Booker,Fiction,2016,Nominee,The Schooldays of Jesus,J. M. Coetzee
Booker,Fiction,2016,Nominee,Serious Sweet,A. L. Kennedy
Booker,Fiction,2016,Nominee,His Bloody Project,Graeme Macrae Burnet
Booker,Fiction,2016,Nominee,The North Water,Ian McGuire
Booker,Fiction,2016,Nominee,Work Like Any Other,Virginia Reeves
Booker,Fiction,2016,Nominee,All That Man Is,David Szalay
Booker,Fiction,2016,Nominee,Do Not Say We Have Nothing,Madeleine Thien
Booker,Fiction,2016,Nominee,The Many,Wyl Menmuir
Booker,Fiction,2016,Nominee,Hot Milk,Deborah Levy
Booker,Fiction,2015,Nominee,The Illuminations,Andrew O'Hagan
Booker,Fiction,2015,Nominee,The Chimes,Anna Smaill
Booker,Fiction,2015,Nominee,Lila,Marilynne Robinson
Booker,Fiction,2015,Nominee,Satin Island,Tom McCarthy
Booker,Fiction,2015,Nominee,A Little Life,Hanya Yanagihara
Booker,Fiction,2015,Nominee,A Spool of Blue Thread,Anne Tyler
Booker,Fiction,2015,Nominee,The Moor's Account,Laila Lalami
Booker,Fiction,2015,Nominee,The Fishermen,Chigozie Obioma
Booker,Fiction,2015,Nominee,Did You Ever Have a Family,Bill Clegg
Booker,Fiction,2015,Nominee,The Year of the Runaways,Sunjeev Sahota
Booker,Fiction,2015,Nominee,The Green Road,Anne Enright
Booker,Fiction,2015,Nominee,Sleeping on Jupiter,Anuradha Roy
Booker,Fiction,2014,Nominee,History of the Rain,Niall Williams
Booker,Fiction,2014,Nominee,The Dog,Joseph O'Neill
Booker,Fiction,2014,Nominee,The Blazing World,Siri Hustvedt
Booker,Fiction,2014,Nominee,Orfeo,Richard Powers
Booker,Fiction,2014,Nominee,The Bone Clocks,David Mitchell
Booker,Fiction,2014,Nominee,The Lives of Others,Neel Mukherjee
Booker,Fiction,2014,Nominee,How to Be Both,Ali Smith
Booker,Fiction,2014,Nominee,To Rise Again at a Decent Hour,Joshua Ferris
Booker,Fiction,2014,Nominee,We Are All Completely Beside Ourselves,Karen Joy Fowler
Booker,Fiction,2014,Nominee,J,Howard Jacobson
Booker,Fiction,2014,Nominee,Us,David Nicholls
Booker,Fiction,2014,Nominee,The Wake,Paul Kingsnorth
Booker,Fiction,2013,Nominee,The Testament of Mary,Colm Tóibín
Booker,Fiction,2013,Nominee,The Marrying of Chani Kaufman,Eve Harris
Booker,Fiction,2013,Nominee,Unexploded,Alison Macleod
Booker,Fiction,2013,Nominee,Almost English,Charlotte Mendelson
Booker,Fiction,2013,Nominee,A Tale for the Time Being,Ruth Ozeki
Booker,Fiction,2013,Nominee,The Lowland,Jhumpa Lahiri
Booker,Fiction,2013,Nominee,Five Star Billionaire,Tash Aw
Booker,Fiction,2013,Nominee,Harvest,Jim Crace
Booker,Fiction,2013,Nominee,The Kills,Richard House
Booker,Fiction,2013,Nominee,TransAtlantic,Colum McCann
Booker,Fiction,2013,Nominee,We Need New Names,NoViolet Bulawayo
Booker,Fiction,2013,Nominee,The Spinning Heart,Donal Ryan
Booker,Fiction,2012,Nominee,Skios,Michael Frayn
Booker,Fiction,2012,Nominee,Swimming Home,Deborah Levy
Booker,Fiction,2012,Nominee,The Garden of Evening Mists,Tan Twan Eng
Booker,Fiction,2012,Nominee,The Lighthouse,Alison Moore
Booker,Fiction,2012,Nominee,Umbrella,Will Self
Booker,Fiction,2012,Nominee,Philida,André Brink
Booker,Fiction,2012,Nominee,The Teleportation Accident,Ned Beauman
Booker,Fiction,2012,Nominee,The Yips,Nicola Barker
Booker,Fiction,2012,Nominee,Communion Town,Sam Thompson
Booker,Fiction,2012,Nominee,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce
Booker,Fiction,2011,Nominee,The Sisters Brothers,Patrick deWitt
Booker,Fiction,2011,Nominee,Half-Blood Blues,Esi Edugyan
Booker,Fiction,2011,Nominee,Jamrach's Menagerie,Carol Birch
Booker,Fiction,2011,Nominee,On Canaan's Side,Sebastian Barry
Booker,Fiction,2011,Nominee,Pigeon English,Stephen Kelman
Booker,Fiction,2011,Nominee,The Stranger's Child,Alan Hollinghurst
Booker,Fiction,2011,Nominee,A Cupboard Full of Coats,Yvvette Edwards
Booker,Fiction,2011,Nominee,Far to Go,Alison Pick
Booker,Fiction,2011,Nominee,Derby Day,D. J. Taylor
Booker,Fiction,2011,Nominee,The Last Hundred Days,Patrick McGuinness
Booker,Fiction,2011,Nominee,The Testament of Jessie Lamb,Jane Rogers
Booker,Fiction,2011,Nominee,Snowdrops,Andrew Miller
Booker,Fiction,2010,Nominee,Parrot and Olivier in America,Peter Carey
Booker,Fiction,2010,Nominee,Room,Emma Donoghue
Booker,Fiction,2010,Nominee,Skippy Dies,Paul Murray
Booker,Fiction,2010,Nominee,The Slap,Christos Tsiolkas
Booker,Fiction,2010,Nominee,The Stars in the Bright Sky,Alan Warner
Booker,Fiction,2010,Nominee,The Thousand Autumns of Jacob de Zoet,David Mitchell
Booker,Fiction,2010,Nominee,Trespass,Rose Tremain
Booker,Fiction,2010,Nominee,February,Lisa Moore
Booker,Fiction,2010,Nominee,In a Strange Room,Damon Galgut
Booker,Fiction,2010,Nominee,C,Tom McCarthy
Booker,Fiction,2010,Nominee,The Long Song,Andrea Levy
Booker,Fiction,2010,Nominee,The Betrayal,Helen Dunmore
