prize,category,year,status,title,author
Pulitzer,Fiction,1992,Winner,A Thousand Acres,Jane Smiley
Pulitzer,Fiction,1992,Nominee,Jernigan,David Gates
Pulitzer,Fiction,1992,Nominee,Lila: An Inquiry into Morals,Robert M. Pirsig
Pulitzer,Fiction,1992,Nominee,Mao II,Don DeLillo
Pulitzer,Fiction,1993,Winner,A Good Scent from a Strange Mountain,Robert Olen Butler
Pulitzer,Fiction,1993,Nominee,At Weddings and Wakes,Alice McDermott
Pulitzer,Fiction,1993,Nominee,Black Water,Joyce Carol Oates
Pulitzer,Fiction,1994,Winner,The Shipping News,E. Annie Proulx
Pulitzer,Fiction,1994,Nominee,Operation Shylock: A Confession,Philip Roth
Pulitzer,Fiction,1994,Nominee,The Collected Stories,Reynolds Price
Pulitzer,Fiction,1995,Winner,The Stone Diaries,Carol Shields
Pulitzer,Fiction,1995,Nominee,The Collected Stories,Grace Paley
Pulitzer,Fiction,1995,Nominee,What I Lived For,Joyce Carol Oates
Pulitzer,Fiction,1996,Winner,Independence Day,Richard Ford
Pulitzer,Fiction,1996,Nominee,Mr. Ives' Christmas,Oscar Hijuelos
Pulitzer,Fiction,1996,Nominee,Sabbath's Theater,Philip Roth
Pulitzer,Fiction,1997,Winner,Martin Dressler: The Tale of an American Dreamer,Steven Millhauser
Pulitzer,Fiction,1997,Nominee,The Manikin,Joanna Scott
Pulitzer,Fiction,1997,Nominee,Unlocking the Air and Other Stories,Ursula K. Le Guin
Pulitzer,Fiction,1998,Winner,American Pastoral,Philip Roth
Pulitzer,Fiction,1998,Nominee,Bear and His Daughter: Stories,Robert Stone
Pulitzer,Fiction,1998,Nominee,Underworld,Don DeLillo
Pulitzer,Fiction,1999,Winner,The Hours,Michael Cunningham
Pulitzer,Fiction,1999,Nominee,Cloudsplitter,Russell Banks
Pulitzer,Fiction,1999,Nominee,The Poisonwood Bible,Barbara Kingsolver
Pulitzer,Fiction,2000,Winner,Interpreter of Maladies,Jhumpa Lahiri
Pulitzer,Fiction,2000,Nominee,Close Range: Wyoming Stories,Annie Proulx
Pulitzer,Fiction,2000,Nominee,Waiting,Ha Jin
Pulitzer,Fiction,2001,Winner,The Amazing Adventures of Kavalier & Clay,Michael Chabon
Pulitzer,Fiction,2001,Nominee,Blonde,Joyce Carol Oates
Pulitzer,Fiction,2001,Nominee,The Quick and the Dead,Joy Williams
Pulitzer,Fiction,2002,Winner,Empire Falls,Richard Russo
Pulitzer,Fiction,2002,Nominee,John Henry Days,Colson Whitehead
Pulitzer,Fiction,2002,Nominee,The Corrections,Jonathan Franzen
Pulitzer,Fiction,2003,Winner,Middlesex,Jeffrey Eugenides
Pulitzer,Fiction,2003,Nominee,Servants of the Map: Stories,Andrea Barrett
Pulitzer,Fiction,2003,Nominee,You Are Not a Stranger Here,Adam Haslett
Pulitzer,Fiction,2004,Winner,The Known World,Edward P. Jones
Pulitzer,Fiction,2004,Nominee,American Woman,Susan Choi
Pulitzer,Fiction,2004,Nominee,Evidence of Things Unseen,Marianne Wiggins
Pulitzer,Fiction,2005,Winner,Gilead,Marilynne Robinson
Pulitzer,Fiction,2005,Nominee,An Unfinished Season,Ward Just
Pulitzer,Fiction,2005,Nominee,War Trash,Ha Jin
Pulitzer,Fiction,2006,Winner,March,Geraldine Brooks
Pulitzer,Fiction,2006,Nominee,The Bright Forever,Lee Martin
Pulitzer,Fiction,2006,Nominee,The March,E. L. Doctorow
Pulitzer,Fiction,2007,Winner,The Road,Cormac McCarthy
Pulitzer,Fiction,2007,Nominee,After This,Alice McDermott
Pulitzer,Fiction,2007,Nominee,The Echo Maker,Richard Powers
Pulitzer,Fiction,2008,Winner,The Brief Wondrous Life of Oscar Wao,Junot Díaz
Pulitzer,Fiction,2008,Nominee,Shakespeare's Kitchen,Lore Segal
Pulitzer,Fiction,2008,Nominee,Tree of Smoke,Denis Johnson
Pulitzer,Fiction,2009,Winner,Olive Kitteridge,Elizabeth Strout
Pulitzer,Fiction,2009,Nominee,All Souls,Christine Schutt
Pulitzer,Fiction,2009,Nominee,The Plague of Doves,Louise Erdrich
Pulitzer,Fiction,2010,Winner,Tinkers,Paul Harding
Pulitzer,Fiction,2010,Nominee,"In Other Rooms, Other Wonders",Daniyal Mueenuddin
Pulitzer,Fiction,2010,Nominee,Love in Infant Monkeys,Lydia Millet
Pulitzer,Fiction,2011,Winner,A Visit from the Goon Squad,Jennifer Egan
Pulitzer,Fiction,2011,Nominee,The Privileges,Jonathan Dee
Pulitzer,Fiction,2011,Nominee,The Surrendered,Chang-rae Lee
Pulitzer,Fiction,2012,Nominee,Swamplandia!,Karen Russell
Pulitzer,Fiction,2012,Nominee,The Pale King,David Foster Wallace
Pulitzer,Fiction,2012,Nominee,Train Dreams,Denis Johnson
Pulitzer,Fiction,2013,Winner,The Orphan Master's Son,Adam Johnson
Pulitzer,Fiction,2013,Nominee,The Snow Child,Eowyn Ivey
Pulitzer,Fiction,2013,Nominee,What We Talk About When We Talk About Anne Frank,Nathan Englander
Pulitzer,Fiction,2014,Winner,The Goldfinch,Donna Tartt
Pulitzer,Fiction,2014,Nominee,The Son,Philipp Meyer
Pulitzer,Fiction,2014,Nominee,The Woman Who Lost Her Soul,Bob Shacochis
Pulitzer,Fiction,2015,Winner,All the Light We Cannot See,Anthony Doerr
Pulitzer,Fiction,2015,Nominee,Let Me Be Frank With You,Richard Ford
Pulitzer,Fiction,2015,Nominee,"Lovely, Dark, Deep",Joyce Carol Oates
Pulitzer,Fiction,2015,Nominee,The Moor's Account,Laila Lalami
Pulitzer,Fiction,2016,Winner,The Sympathizer,Viet Thanh Nguyen
Pulitzer,Fiction,2016,Nominee,Get in Trouble: Stories,Kelly Link
